2020-01-19 21:06:04	Start
2020-01-19 21:06:08	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
1.521	0.900220	0.541090	12.773067	12.816178	0.813	1.976	11.187	11.444
1.543	0.948104	-0.090980	13.007698	13.042522	0.886	1.180	11.927	12.071
1.562	0.931344	0.201113	11.303026	11.343114	0.907	0.587	12.133	12.201
1.582	0.756568	1.137246	8.757990	8.863865	0.884	0.447	11.460	11.516
1.606	0.792481	1.642422	6.823475	7.062959	0.857	0.722	9.973	10.078
1.622	0.809240	2.015918	6.145916	6.518518	0.822	1.249	8.258	8.447
1.644	0.828394	2.015918	6.447585	6.805991	0.797	1.703	7.044	7.313
1.662	0.529119	1.436521	7.223307	7.383747	0.740	1.778	6.660	6.943
1.690	0.368707	0.557849	8.908825	8.933885	0.634	1.507	7.181	7.411
1.703	0.392649	0.136469	10.706870	10.714937	0.530	1.037	8.322	8.460
1.722	0.167594	0.260968	11.233594	11.237875	0.365	0.598	9.518	9.568
1.743	-0.167594	0.830788	9.509769	9.547461	0.190	0.447	10.090	10.109
1.768	-0.289698	1.510741	7.615956	7.769752	0.026	0.685	9.767	9.818
1.787	-0.507571	2.025495	6.600814	6.923222	-0.199	1.157	8.740	8.870
1.803	-0.823605	2.229002	6.976704	7.370289	-0.447	1.649	7.676	7.903
1.823	-0.802058	2.269703	8.051701	8.403852	-0.606	2.009	7.311	7.617
1.843	-0.529119	2.439692	8.599973	8.954976	-0.666	2.241	7.557	7.913
1.863	-0.186748	2.260126	8.894460	9.179023	-0.585	2.300	8.131	8.477
1.883	0.239420	2.224213	9.548077	9.806641	-0.320	2.298	8.774	9.086
1.902	0.325611	2.135628	10.364499	10.587246	-0.038	2.265	9.352	9.632
1.922	0.248997	2.159570	10.967838	11.181199	0.157	2.195	9.944	10.189
1.946	-0.100556	2.159570	11.044453	11.254056	0.178	2.170	10.481	10.707
1.963	-0.529119	1.963245	10.666168	10.858243	-0.014	2.105	10.761	10.970
1.982	-0.687136	1.695095	10.093954	10.258334	-0.267	1.994	10.693	10.888
2.003	-1.067814	2.334347	9.598354	9.935683	-0.596	2.038	10.351	10.577
2.022	-1.316811	2.554613	9.047688	9.493193	-0.900	2.137	9.852	10.136
2.042	-1.156399	2.054225	8.841787	9.150645	-1.057	2.160	9.395	9.709
2.069	-0.339977	0.979228	9.957485	10.011293	-0.970	1.981	9.361	9.648
2.083	0.344765	-0.126893	11.700463	11.706230	-0.617	1.365	9.887	10.090
2.103	0.512359	0.337582	12.785037	12.799752	-0.160	0.811	10.821	10.917
2.123	-0.117316	1.170765	11.063606	11.125998	0.100	0.590	11.377	11.411
2.143	-0.418985	1.841141	8.650250	8.853936	0.080	0.806	11.050	11.121
2.175	-0.857124	2.377442	7.460332	7.876767	-0.220	1.432	9.990	10.164
2.192	-0.866701	1.728614	8.145074	8.371470	-0.565	1.779	8.830	9.057
2.206	-0.627281	1.084573	9.655815	9.736762	-0.693	1.758	8.478	8.710
2.223	-0.462081	0.766145	10.754754	10.791906	-0.703	1.489	9.004	9.194
2.244	-0.296881	0.723049	9.979033	10.009597	-0.563	1.076	9.634	9.727
2.266	0.059855	1.192312	8.250419	8.336342	-0.332	0.942	9.660	9.719
