2020-01-19 14:57:02	Start
2020-01-19 14:57:14	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
3.076	8.286332	-3.684676	4.817134	10.268638	9.492	-3.629	4.508	11.140
3.095	9.761160	-3.069367	4.443638	11.155589	9.556	-3.397	4.621	11.164
3.115	11.939884	-2.762909	5.039794	13.251190	9.938	-3.209	4.817	11.531
3.146	10.730812	-3.806781	4.991910	12.432260	10.180	-3.331	4.823	11.777
3.155	9.758766	-3.761291	4.455609	11.368081	10.548	-3.350	4.733	12.052
3.176	10.498574	-3.689465	4.508282	12.006532	10.732	-3.505	4.749	12.265
3.195	10.326192	-3.730166	4.510676	11.869734	10.329	-3.747	4.617	11.919
3.216	10.139444	-3.157952	4.345476	11.474500	10.181	-3.585	4.455	11.680
3.235	10.259154	-3.186682	4.644751	11.703798	10.306	-3.441	4.502	11.764
3.255	9.440337	-3.564966	4.637568	11.105674	10.041	-3.410	4.535	11.538
3.275	8.535329	-3.703830	4.429273	10.304788	9.594	-3.403	4.514	11.147
3.295	8.578424	-4.103662	4.900931	10.698061	9.203	-3.640	4.653	10.953
3.315	8.760384	-4.548983	3.845088	10.593501	8.829	-3.980	4.453	10.676
3.335	10.002975	-4.149151	4.436456	11.702867	8.969	-4.126	4.403	10.825
3.355	9.030929	-4.414908	4.695030	11.094701	9.093	-4.304	4.469	11.022
3.384	8.365341	-4.786009	3.766079	10.347375	9.040	-4.475	4.186	10.935
3.423	8.097190	-5.224148	3.215413	10.158498	8.874	-4.644	4.028	10.826
3.423	10.101137	-4.359841	3.184288	11.453422	8.899	-4.696	3.715	10.764
3.437	13.603854	-4.276044	1.826776	14.376596	10.042	-4.662	2.998	11.584
3.459	9.610326	-5.487510	2.425326	11.329313	10.353	-4.837	2.663	11.829
3.476	4.118027	-5.901707	2.288857	7.551633	9.358	-5.006	2.431	11.178
3.496	2.116474	-5.779603	3.600879	7.130891	7.362	-5.361	2.535	10.097
3.517	7.776367	-4.218584	3.835511	9.642587	5.905	-5.347	3.038	8.914
3.537	7.656657	-5.140351	2.489970	9.552359	5.417	-5.260	3.054	8.469
3.566	5.683835	-6.852205	2.308010	9.197044	5.808	-5.498	3.059	8.881
3.577	7.173028	-7.007828	2.885013	10.434812	7.072	-5.805	2.880	9.707
